1,4610.837980
2,49.442447
3,32.591639
4,24.167487
5,19.113974
6,15.745759
7,13.340554
8,11.537213
9,10.135101
10,9.013835
11,8.096810
12,7.332953
13,6.686907
14,6.133418
15,5.653965
16,5.234658
17,4.864874
18,4.536352
19,4.242571
20,3.978313
21,3.739353
22,3.522237
23,3.324111
24,3.142595
25,2.975693
26,2.821713
27,2.679218
28,2.546973
29,2.423915
30,2.309124
31,2.201797
32,2.101234
33,2.006818
34,1.918007
35,1.834319
36,1.755329
37,1.680656
38,1.609959
39,1.542936
40,1.479311
41,1.418839
42,1.361297
43,1.306484
44,1.254216
45,1.204328
46,1.156669
47,1.111100
48,1.067495
49,1.025740
50,0.985728
51,0.947362
52,0.910552
53,0.875217
54,0.841280
55,0.808671
56,0.777325
57,0.747182
58,0.718186
59,0.690285
60,0.663430
61,0.637577
62,0.612683
63,0.588709
64,0.565617
65,0.543373
66,0.521945
67,0.501300
68,0.481411
69,0.462248
70,0.443788
71,0.426003
72,0.408871
73,0.392369
74,0.376476
75,0.361170
76,0.346432
77,0.332243
78,0.318584
79,0.305438
80,0.292787
81,0.280616
82,0.268908
83,0.257648
84,0.246821
85,0.236412
86,0.226408
87,0.216794
88,0.207557
89,0.198685
90,0.190164
91,0.181984
92,0.174131
93,0.166594
94,0.159362
95,0.152425
96,0.145771
97,0.139391
98,0.133274
99,0.127410
100,0.121791
101,0.116407
102,0.111248
103,0.106308
104,0.101577
105,0.097046
